,title,paragraphs
73,Which cosmetics are cruelty-free?,"View our list of consumer product companies that don’t cruelly test their products on animals.
"
74,What is the best way to get rid of fleas and ticks?,"
Although PETA encourages nonlethal methods of insect control whenever possible, we realize that lethal methods sometimes must be used to combat insects, just as lethal means must sometimes be used to defend ourselves against animals and humans who attack us. In the case of a flea or tick problem, while it is necessary to eliminate the insects in order to protect your companion animal from resulting problems such as flea dermatitis or tick-borne diseases once there is an infestation, the best approach is prevention.
To that end, the best long-term preventive is an insect growth regulator called Precor. This flea hormone will cause sterility in the offspring of any flea that touches it, so spray it every four months on your carpets, hardwood floors, and upholstery (but never on your animals!).
The next line of defense is a healthy coat. Fleas prefer flaking, raw, itchy skin because their role in nature is to “take out” the unhealthy animals. To produce a flea-resistant coat in your dog or cat, add flaxseed oil and calcium ascorbate powder (buffered vitamin C) to the animal’s food. B-complex vitamins are also extremely helpful to the condition of the skin. Garlic is a natural flea repellant when added to your animal’s food, and black walnut capsules given as a supplement repel fleas as well. Additionally, a diet rich in fresh, whole foods and low in processed foods and additives will also contribute to the health of your animal’s coat.
Effective flea control programs employ a multifaceted approach. Flea-combing every day is very effective and helps you to keep tabs on the flea population. It also offers immediate relief from itching. Vacuum rugs and furniture daily, if necessary, during flea season. Flea eggs can be picked up by vacuuming but can still hatch in the bag, which should be sealed and thrown away or put in the freezer after each cleaning. For a flea infestation, sprinkle carpets with diatomaceous earth (a powder composed of the fossilized remains of one-celled algae), leave it down overnight, then vacuum it up. This will kill most fleas.
Avoid chemical powders, sprays, or flea collars. These toxic products can be very dangerous—many animals and people have been poisoned or killed by them. Never overdose an animal with a product, mix products (collar, dip, powder), or use a flea control product intended for a dog on a cat, a very small dog, or any other animal.
"
75,What are the dangers of using choke and prong collars?,"Choke and prong collars are designed to punish dogs for pulling by inflicting pain and discomfort. They can cause serious physical and emotional damage to dogs and should never be used.
The use of choke collars has been associated with whiplash, fainting, spinal cord injuries leading to paralysis, crushing of the trachea with partial or complete asphyxiation, crushing and/or fracture of the bones in the larynx, dislocated neck bones, bruising of the esophagus, bruising and damage to the skin and tissues in the neck, brain damage and prolapsed eyes caused by sharp increases in pressure in the head, and other injuries.
The metal spikes of prong collars pinch the skin around dogs’ necks when they pull and can scratch or puncture them. Over time, this can cause dogs to develop scar tissue (which has no feeling) and/or build up a tolerance to the painful pinching sensation and thus continue to pull, making walks even more difficult. Dogs may interpret the tightening of a choke or prong collar around their neck as a stranglehold (which it is, after all!) and become fearful or even aggressive.
The most humane and safest option for walking a dog who tends to want to pull is a front-leash attachment harness, such as the Sense-ation. When dogs lunge or pull while wearing the Sense-ation harness, the front leash attachment redirects them back toward the dogwalker. With patience and positive reinforcement, walks can be a pleasant experience for both human and dog.
"
76,How Do vegans Feel About Horseback Riding?,"In a perfect world, horses would be free to pursue their own lives and humans wouldn’t make demands of them. They’re herd animals who in nature, associate with other members of their large groups, graze in meadows, travel great distances, play, and engage in courtship behavior. They have needs, wants, and interests that are entirely independent from what humans ask and expect from them.
If we look honestly at our relationship with horses, we must acknowledge that the decision to take part in horseback riding is made solely by one individual with little benefit to and no input from the other.
Ren Hurst, author of Riding on the Power of Others: A Horsewoman’s Path to Unconditional Love, calls for an end to horseback riding, saying, “[W]e have this fundamental responsibility to not take advantage” of animals who have no control over whether or not they live with humans. It’s a new concept that’s evolving as our mindsets do, but the fundamental premise is a simple one: We can and must challenge our old patterns of thinking if we want to treat animals ethically—not as subservient to us but as our equals.
Horses deserve to live their lives as nature intended. We can connect with horses in our care and have a meaningful and mutually beneficial relationship with these sensitive animals without climbing on top of them.
"
77,What’s wrong with chaining dogs?,"
Condemning dogs to “solitary confinement” on a chain is so cruel that it is illegal in some cities. Chained dogs are exposed to searing heat, bitter cold, rain, and wind, putting them at risk for heat exhaustion, frostbite, and exposure. Chains can wrap around trees or other objects, water bowls can easily tip over, and food can quickly spoil in summer or freeze in winter.
Chained dogs often become overly fearful of intruders and protective of their tiny patch of ground. They are easy targets for cruel people who taunt and tease, putting their defenses on red alert. Not surprisingly, dogs who spend much of their lives tied out on a chain often become dangerous, while dogs who are well socialized and supervised rarely bite.
Perhaps worst of all, chained dogs are terribly lonely. They are pack animals who long to live with, love, and be loved by their human families. Denying a dog this companionship is so cruel that some dogs go crazy with loneliness. It’s best for everyone when dogs are treated as treasured family members.
"
78,What should I do if I can no longer keep my companion animal?,"
Having to give away a companion animal can be very traumatic for you and certainly for your animal. If circumstances make it impossible for you to keep or properly care for your animal and if you have exhausted resources such as trusted friends and relatives, don’t rush into a placement just because you are pressured for time. If you are unable to find an excellent home for your animal, take him or her to an animal shelter operated by a humane organization. Don’t avoid a shelter just because it performs euthanasia. A peaceful end is certainly preferable to being “warehoused” for years in a cage or a cruel, slow death by disease, exposure, starvation, or being crushed under the wheels of a car.
If your animal friend is old, very shy, or very dependent on you and you cannot find a home with someone he or she trusts and loves, the kindest course may lie in taking him or her to a veterinarian or shelter to be euthanized. Animals who have been with you a long time may suffer and pine terribly when you are gone. As a final kindness, remain in the room to comfort your old friend during euthanasia.
Never sell your animal or give him or her to anyone without checking for identification, the person’s full name, driver’s license number, address, and telephone number, and explain that you will visit his or her home (to ensure that he or she actually lives there). Ask for (and check) references from veterinarians, neighbors, and employers.
"
79,What’s wrong with eating honey?,"Unfortunately, like factory farmers, many beekeepers take inhumane steps to ensure personal safety and reach production quotas. It’s not unusual for larger honey producers to cut off the queen bee’s wings so that she can’t leave the colony or to have her artificially inseminated on a bee-sized version of the factory farm “rape rack.” When the keeper wants to move a queen to a new colony, she is carried with “bodyguard” bees, all of whom—if they survive transport—will be killed by bees in the new colony. Bees may be killed or have their wings and legs torn off by haphazard handling. According to the Cook-DuPage Beekeepers Association, humans have been using honey since about 15,000 B.C., but it wasn’t until the 20th century that people turned bees into factory-farmed animals. Happily, many sweeteners are made without killing bees: Rice syrup, molasses, sorghum, Sucanat, barley malt, maple syrup, organic cane sugar, and dried fruit or fruit concentrates can replace honey in recipes. Using these will keep your diet bee-free.
"
80,How do I know that companies on the cruelty-free list really don’t test on animals?,"
To a degree, PETA’s “statement of assurance” is a matter of trust. However, the integrity of a company is on the line. A company that has publicly announced an end to its animal testing and has stated in writing that it does not test on animals would face a public relations disaster—and potential lawsuits—if its policies were being misrepresented. Business owners are well aware that consumers are serious about the issue of animal testing, and they know that they would ruin the public’s confidence in their products if it were discovered that they were being dishonest about their policies.
"
81,How does eating meat harm the environment?,"When land is used to raise animals instead of crops, precious water and soil are lost, trees are cut down to make land for grazing or factory-farm sheds, and untreated animal waste pollutes rivers and streams. In fact, it has such a devastating effect on all aspects of our environment that the Union of Concerned Scientists lists meat-eating as one of the biggest environmental hazards facing the Earth. Globally, animal agriculture is responsible for more greenhouse gases than all the world’s transportation systems combined. No wonder, when you consider facts like these:
 
"
82,"What is veganism's stance on programs that advocate trapping, spaying and neutering, and releasing feral cats?","Sadly, our experience with trap, spay-and-neuter, and release programs and “managed” feral cat colonies has led us to question whether or not these programs are truly in the cats’ best interests. We receive countless reports of incidents in which cats—“managed” or not—suffer and die horrible deaths because they must fend for themselves outdoors. Having witnessed firsthand the gruesome things that can happen to feral cats, we cannot in good conscience advocate trapping and releasing as a humane way to deal with overpopulation.
Advocates argue that feral cats are just as deserving as other felines and that it is our responsibility to alleviate their suffering and assure their safety. We absolutely agree. It is precisely because we would never encourage anyone to let their own cats outdoors to roam that we do not encourage the same for feral cats. In fact, the act of releasing a feral cat is, in the eyes of the law, abandonment and is illegal in many areas.
We believe that although altering feral cats prevents the suffering of future generations, it does little to improve the quality of life for the cats who are left outdoors and that allowing feral cats to continue their daily struggle for survival in a hostile environment is not usually a humane option.
Nevertheless, PETA’s position has never been that all feral cats should be euthanized. We believe that trap, vaccinate, spay/neuter, and release programs are acceptable when the cats are isolated from roads, people, and other animals who could harm them; regularly attended to by people who not only feed them but care for their medical needs; and situated in an area where they do not have access to wildlife and where the weather is temperate.
"
83,"My doctor wants me to take Premarin, but I understand it’s made from horse urine. Is this true?","The estrogen-replacement drug Premarin, prescribed to menopausal women, is made from horse urine; in fact, the drug’s name is short for PREgnant MARes’ urINe. About 750,000 mares are impregnated each year for the sole purpose of collecting their estrogen-rich urine. Tied in small stalls, unable to move either backwards, forwards, or sideways or lie down comfortably, they stand with sacks strapped to their groins for months on end. In order to make the urine more concentrated, their water intake is restricted, so the horses are constantly thirsty. The foals are considered “byproducts,” and most are fattened up, slaughtered, and sold for horsemeat or turned into dog food.
Fortunately, humane alternatives to Premarin are available. Cenestin, manufactured by Duramed Pharmaceuticals, is used to treat menopausal symptoms such as hot flashes and night sweats. Duramed is currently conducting clinical trials to prove Cenestin’s effectiveness at preventing osteoporosis, as well. Like Premarin, Cenestin contains a complex mixture of conjugated estrogens that are slowly released into the body. But unlike Premarin, Cenestin is derived from plant sources—soybeans and yams—not horse urine. Recent studies linking Premarin to an increased risk of breast cancer serve as an additional reason to consider the switch.
Be aware that there is evidence that mammography screening is less accurate in women who use hormone replacement therapy. The same activities important for health at other times in our lives can help alleviate many of the common symptoms of menopause. Switching to a low-fat vegetarian diet, exercising, quitting smoking, and reducing stress could eliminate some women’s need for drugs in the first place.
"
84,Do vegans advocate spaying and neutering of companion animals?,"Yes, vigorously! Each year, 6-8 million precious animals will enter the front doors of animal shelters—and 3-4 million of them will go out the back doors in body bags. All of this misery and death could be prevented through spaying and neutering (surgical sterilization). Every stray cat and every neglected dog came from an animal who wasn’t spayed or neutered.
By preventing animals from being born, we prevent animals from being hit by cars, infected with lingering, painful diseases, attacked by other animals or cruel people, stolen by laboratory dealers, used as bait by dogfighters, or simply stuck outside to die of starvation, exposure, or neglect.
Spaying and neutering will help stop this cycle of abuse. PETA works very hard on this, educating the public about the need to spay and neuter through pamphlets, billboards, letters to the editor, ads, public service announcements, articles, and humane education in schools. We also provide spaying and neutering services for animal companions of low-income families and the elderly.
"
85,What are pocket pets?,"“Pocket pets” are exotic animals, such as prairie dogs, flying squirrels, spiny mice, and hedgehogs, whose popularity as fad pets has skyrocketed in recent years. Although their small size may make them look cute and cuddly, “pocket pets” are wild animals who have very special husbandry requirements. They suffer from the stress of being confined to small cages, are generally fed an improper diet, and are often forced to have an unnaturally high number of litters. Trauma and injuries result when these animals are handled improperly and dropped. “Pocket pets” frequently wind up in climates that they are not suited for and are tossed aside when a new fad arises. They can also be dangerous and carry the risk of disease.
If pet shops selling “pocket pets” are engaged in “de minimis” (small-scale) activities, they’re exempt from the U.S. Department of Agriculture’s federal licensing requirements. The exemption includes exhibitors with eight or fewer “pet” animals, small exotic or wild mammals, and domesticated farm-type animals. This means that even the shoddiest animal dealers can operate without fear of violating the federal Animal Welfare Act.
"
86,What are Aquababies?,"
AquaBabies are 4-inch plastic cubes containing fish, snails, and frogs for sale in drugstores and convenience stores around the country. The AquaBabies containers do not provide adequate space for even the smallest of animals, and since they are frequently sold as “impulse” items next to cash registers, the majority of purchasers aren’t equipped with the knowledge they need to properly care for these animals. The fate of the surviving animals is bleak once they are purchased, and their presence on store shelves encourages an unenlightened attitude about animals. More and more companies are refusing to sell AquaBabies, including Walgreen’s, Eckerd, Rite Aid, and Albertson’s, because of customer complaints. Express your concern for animals whose lives are being endangered and lost in the hands of impulse buyers by writing to companies that sell AquaBabies.
"
87,What should I do if I find feral or stray animals?,"
If feral or stray animals turn up at your doorstep, don’t assume that they have homes and are just visiting. It never hurts to err on the side of caution and take them in. If they have families, your signs and ads will bring them running. If they don’t have homes, your intervention could save their lives.
Stray and feral animals can rarely survive long on their own. They die of disease, poisoning, starvation, theft by laboratory dealers, and worse. One beautiful white stray cat, nicknamed “Bob,” was fed by several families but not adopted by any of them. Someone finally called PETA after wounds that Bob had suffered in an attack by a dog went untreated for several months. By then, it was too late to save him.
If you spot a stray, bring him or her inside! If the animal is not sterilized, one stray can quickly turn into a dozen. If a stray flees when you approach, start putting out food to get him or her into the habit of visiting. Borrow a humane box trap from your local animal shelter or purchase one from Tomahawk Live Trapping Company (1-800-27-ATRAP).
Check for tags; many lost animals are reunited with their families because someone took the time to call. But don’t assume that because the animal has a collar, he or she has a home. Many are abandoned, or their families have given up looking for them.
Immediately file a “found” report at all area shelters (animals can wander many miles). Don’t be afraid to take the animal to a well-run shelter—that’s usually the first place where people look. Place a classified ad in the newspaper (many papers run “found” ads for free or at a discount). Put up signs within a 2-mile radius that say, “Found cat. Call [telephone number].” Don’t give any details. Let callers give you details; this weeds out people who are trying to acquire animals under false pretenses to sell to laboratories or dogfighting rings.
If no one claims the animal, find a home where he or she will live inside as a member of the family. Visit the home, ask lots of questions, ask for and check references, and have adopters sign a contract. (Order our “Finding the Right Home” brochure for more details.) Always sterilize animals before they go to their new homes. Call 1-800-248-SPAY for information on low-cost spay/neuter programs in your area. If you are unable to find a good home, take the animal to a reputable shelter run by a humane organization.
"
88,What’s wrong with keeping birds in cages?,"
All caged birds are either captured or captive-bred. In the wild, these beautiful beings are never alone, and if separated even for just a moment, they call wildly to their flockmates. Flock-oriented, they preen each other, fly together, play, and share egg-incubation duties. Many species of birds mate for life and share parenting tasks. Most birds will not take a second mate in the wild if their first is lost.
Life in captivity is often a death sentence for birds, who may suffer from malnutrition, an improper environment, loneliness, and the stress of confinement. Birds are meant to fly and be with others of their own kind in a natural environment. Confinement causes birds to have temper tantrums and mood swings. The New York Times has reported that many birds “go off the deep end when they are … placed in captivity. … The resulting frustration, [Cambridge University zoologist Dr. James Serpell] said, leads to abnormalities like repetitive behavior, in which the bird’s head weaves back and forth, or in which it shifts constantly from one foot to the other; abnormal grooming in which the bird picks out all of its feathers, and aggressive behavior.”
Birds are smuggled into the United States more than any other animal. Before being shipped, birds are often force-fed, their wings are clipped, their beaks are taped shut, and they are crammed into everything from spare tires to luggage. It’s not unusual for most of the birds in one shipment to die.
Taking animals from their natural habitats endangers individual animals and jeopardizes entire populations and ecosystems. The population of the South American hyacinth macaw has dropped significantly over the last 10 years as a result of smugglers’ capturing the birds for U.S. and European collectors.
Birds bred in captivity don’t fare much better. Birds older than 8 to 10 weeks of age don’t sell well at pet shops so many are kept for breeding and condemned to small cages for the rest of their lives.
If you love birds, contact a bird rescue group in your area to learn how you can foster or adopt an abused or neglected bird.
"
89,Do ingredients of synthetic or plant origin work as well as their animal-derived counterparts?,"
Remember, animal ingredients are used because they are generally cheaper, not because they are better than vegetable-derived or synthetic ingredients. Today’s slaughterhouses must dispose of the byproducts of the slaughter of billions of animals every year and have found an easy and profitable solution in selling them to food and cosmetics manufacturers.  Furthermore, rendering plants process the bodies of millions of tons of dead animals every year, transforming decaying flesh and bones into profitable animal ingredients. Slaughterhouses, which provide the inedible parts of animals killed for food, are the primary sources of rendered animals, but the bodies of dogs and cats who are euthanized in animal shelters wind up at rendering plants too.
"
90,Do you have any suggestions for keeping up with all the hair that my cat sheds?,
91,"I have an ant problem. I’d rather not kill the ants, but I do want to get rid of them. What should I do?","
Avoid using insect sprays. Pesticides are the number two cause of household poisonings in the U.S., as people and companion animals breathe in the toxic air. The best way to keep ants out of your house safely and naturally is by using products you may have in your kitchen cabinets right now. Try pouring a line of cream of tartar, red chili powder, paprika, or dried peppermint at the place where you think ants might be entering the house; they won’t cross it. You can also try washing countertops, cabinets, and floors with equal parts vinegar and water. To keep insects out in the first place, fill holes and cracks in walls with caulk or white glue. Finally, probably the most important thing you can do is to avoid giving insects a food supply, by keeping living areas clean. Be careful to sweep up crumbs, wash dishes immediately, store food in tightly sealed containers, and empty garbage frequently.
"
92,Is it safe to feed my dog or cat a vegetarian diet?,"“A growing body of evidence appears to indicate that dogs and cats can survive, and indeed thrive, on nutritionally-sound vegetarian and vegan diets,” according to Andrew Knight and Madelaine Leitsberger, the authors of a review in the journal Animals of four studies that examined the nutritional adequacy of vegetarian diets for cats and dogs. One study comparing the health of vegetarian cats to that of cats on conventional diets found no significant differences in perceived health status between the two groups.
Some dogs are even sensitive to meat and do better without it for that reason. Many commercial meat-based dog and cat foods contain ingredients that are harmful to them, such as pesticides, hormones, antibiotics, preservatives, poor-quality fillers, and parts of animals that are deemed unfit for human consumption, such as ground-up feathers and diseased flesh.
Dogs are considered omnivores, but many require taurine and L-carnitine, which are found in raw meat, in their diets. These amino acids can prevent dilated cardiomyopathy in breeds that are prone to the disease. Nowadays, however, most commercial dog foods, both vegetarian and meat-based, contain them, and if you want to feed a homemade diet, you can purchase them in powder form online or at a health food store.
Cats have nutritional requirements that are more stringent than those of dogs. Vitamin A, taurine, and arachidonic acid are essential for maintaining their health. Today, these are also found in any high-quality commercial cat food, and they also can be added to a homemade, plant-based diet.
Many people supplement the diets of both their dogs and their cats with fresh fruit, such as melon, bananas, and apples; vegetables, such as green beans and carrots; whole grains, such as millet and barley; homemade dog biscuits; and superfoods such as spirulina, nutritional yeast, and nori.
For a smooth transition, start by mixing vegetarian food (several brands are available to choose from, including v-dog, Amì, and Wild Earth, or follow the vegan recipes in Dr. Pitcairn’s Complete Guide to Natural Health for Dogs and Cats or that come with Vegepet supplements) with the meat-based food. Gradually increase the vegetarian portion and decrease the meat-based diet over one to two weeks. Most, but not all, dogs and cats can do well on a vegetarian diet, so watch closely to be sure that the new diet is agreeing with your animal companion. If you notice skin or digestive problems, you may need to make adjustments. Try a different brand or recipe, or if necessary, go back to feeding the previous diet.
PETA is a participant in the Amazon Services LLC Associates Program, an affiliate advertising program designed to provide websites with a means to earn advertising fees by advertising and linking to Amazon.com.
"
93,How do I choose a veterinarian?,"
It’s essential to choose a veterinarian you can trust. Ask for references from trusted friends and humane organizations and call the local Better Business Bureau, the Chamber of Commerce, and your State Board of Veterinary Medical Examiners to check for previous complaints from clients. To find a holistic veterinarian, call 410-569-0795.
Before making an appointment with a veterinarian you’ve never met, call or visit to chat briefly with him or her. Ask if emergency service is available and if the clinic offers payment plans, has surgical and x-ray capabilities, and has ’round the clock supervision of hospitalized animals. Once you’ve found a veterinarian you like, don’t hesitate to get second and third opinions from other veterinarians when treatment of any kind is recommended. Never allow your animal to be taken out of your sight for treatment.
"
94,Do you approve of electric fences and shock collars?,"Electronic fences and shock collars electrically shock dogs when they cross an invisible line, bark, or don’t respond to a command. These cruel devices physically hurt animals and can cause severe psychological problems as well. Companion animals should not have to live in fear of receiving electric shocks for normal behavior, such as barking. Positive training methods, in which dogs are rewarded for what they do right, are kinder and more effective.
Dogs trained with shock collars and electric fences may develop fears of or aggression aimed at what they BELIEVE is the source of the shock (kids riding by on bikes, the mailman, the dog next door, etc.). Dogs have been known to run through electric barriers when frightened by fireworks or chasing a squirrel, and then are scared to cross back through the barrier.
It’s also worth noting that while electric fences may keep your dog inside the yard, they do nothing to protect your companion from other roaming dogs, cruel humans, or other animals who can freely enter the property.
"
95,Are Nylabone chew toys safe?,"
A recent TV news investigation described how pieces of Nylabone’s “Plaque Attacker,” a synthetic bone manufactured by T.F.H. Publications, one of the largest companion animal product manufacturers, have broken off and become lodged in dogs’ intestinal tracts, causing massive infection and death. Because the “Plaque Attacker’s” chips do not show up on x-rays, the only chance of finding the cause of an infection is surgery or, tragically, in hundreds of dogs’ cases, necropsy.
Fortunately, after years of pressure by concerned individuals, Nylabone has recalled the “Plaque Attacker” and recently announced plans to introduce a new, safer product.
"
96,What should I do if an ingredient seems questionable but is not included on the list of animal ingredients and their alternatives?,"
The list is not exhaustive. There are thousands of technical and patented names for ingredient variations. In fact, some ingredients go by the same name whether they are of animal, vegetable, or synthetic origin. If you have a question regarding a product’s ingredients, call the manufacturer directly.
"
97,What’s so bad about eating eggs?,"Chickens don’t need to be killed for their eggs, right? While both male and female chickens can be raised for meat, only females can produce eggs, so about 346 million male chicks per year are disposed of by being shoved into plastic bags and left to suffocate. They cannot be raised profitably as “broilers” or “fryers” because they have not been engineered to produce a lot of muscle.
Conditions at egg factory farms are atrocious. Cage floors are of wire mesh so waste falls from the upper tiers onto the chickens below. A single cage, roughly 16 by 18 inches, holds five to six hens, each with a wingspan of 32 inches. Hens bred to be super layers experience so much stress that their accelerated laying span lasts only a year and a half—two years at most—compared with the 15 to 20 years that hens produce eggs under natural conditions. Hens today lay about twice as many eggs per year as hens laid several decades ago, before factory farming, and their tired bodies pay the price.
To learn more about how chickens are raised, please click here.
"
98,What is veganism's position on euthanasia?,"
Every day in the United States, tens of thousands of puppies and kittens are born. Compare this to the nearly 11,000 human births each day, and it’s clear that there can never be enough homes for all these animals. Shelters are stuck with the heartrending job of dealing with animals nobody wants. Those who refuse to spay and neuter their animals, who abandon animals when they grow tired of them, and who patronize pet shops instead of adopting stray or shelter animals make euthanasia a tragic necessity.
"
99,What industries am I supporting when I buy products that use animal ingredients?,"
Animal ingredients come from every industry that uses animals—the meat, fur, wool, dairy, egg, and fishing industries as well as industries such as horseracing and rodeo, which send unwanted animals to slaughter.
 
Visit PETA’s home page to learn more about the animals who suffer in these industries and what you can do to help.
"
100,Do vegans endorse the companies that are noted as cruelty-free?,"
Inclusion in the cruelty-free section does not imply endorsement of any company or product by PETA. We encourage consumers to shop responsibly and to question companies about their products and business practices before making any purchase. PETA reserves the right to choose which companies will be included, based on each company’s policies.
"
101,"What about products with labels that say, “No animal testing” but whose manufacturing company is not on veganism's “don’t test” list?","Labels can be deceptive, so be careful. No specific laws exist regarding cruelty-free labeling of products, so companies can take liberties. While it is unlikely that a company would put blatantly false information regarding its animal-testing practices on its products, statements on labels may be misleading and not fully informative. Many companies that do test on animals have some cruelty-free products, but we must boycott all the companies’ products in order to pressure them into putting an end to all animal tests.
If the label on a company’s product says that it is not tested on animals, and you cannot find the company on either of PETA’s lists, please share the company’s contact information with us so that we can formally inquire about the company’s animal-testing policy. Likewise, if you communicate with a company that claims to be cruelty-free, please ask for a statement in writing and copy the statement to PETA. We will determine whether the company meets our cruelty-free criteria. Meanwhile, PETA recommends that you purchase only products made by companies on our “don’t test” list.
"
102,Is it possible to buy cruelty-free contact lenses and solutions?,"Yes! PETA Business Friend Clear Conscience sells cruelty-free contact lens solution, redness-relieving eye drops, and lubricant eye drops. They may be purchased at ClearConscience.com.

The U.S. Food and Drug Administration, which promulgates regulations regarding the safety testing of contact lens products, does not explicitly require that contact lens solutions be tested on animals. Despite this good news, our research indicates that manufacturers of contact lens products are staunchly resistant to eliminating animals from their testing procedures. Because these products are used in the eyes, they must undergo more extensive safety tests than other products, like cosmetics, which are primarily applied to the surface of the skin. Manufacturers use this reason and their fear of consumer lawsuits as excuses to continue testing on animals despite the questionable validity of animal tests and the existence of humane alternatives.
It’s time to put some pressure on the manufacturers of contact lens products. Please use your power as a consumer to write to them and ask that they eliminate animal testing for their products.
"
103,How do I find out if my prescription medication contains ingredients from animal sources?,"
"
104,How often is the information on veganism's cruelty-free company search page updated?,"PETA’s online lists of companies that do test and that don’t test on animals are updated frequently to reflect additions (e.g., if we are informed of a new company’s policy prohibiting animal testing), deletions (e.g., if a company that doesn’t test on animals is purchased by a company that tests on animals or if a company goes out of business), changes in contact information, etc.
PETA’s printed version of the Cruelty-Free Shopping Guide is updated approximately twice a year and is based on the most current information available at the time of printing. Companies’ animal-testing policies can change after any given edition is printed.
PETA reserves the right to choose which companies are included, based on companies’ policies. Inclusion on any list is not an endorsement by PETA of a company or any of its products.
"
105,How often are veganism's company lists updated?,"
"
106,I’ve discovered that a company in the cruelty-free section harms animals in other ways. Why is it still included on the list?,"
Because there are so many ways in which companies may be involved in harming animals, it’s virtually impossible to compile a list of companies that are 100 percent cruelty-free. For example, a company that doesn’t test on animals may make a corporate donation to the American Cancer Society, a charity that funds animal experiments; a manufacturer that doesn’t harm animals may start an advertising campaign that uses animals; or a company that opposes animal testing may do a publicity event with a circus. The possibilities are endless. PETA is opposed to all animal use, so this is a tough call for us.
It is impossible for us to keep track of all these things, and unfortunately, we could probably find an objection with almost every company. Therefore, we have decided to maintain the cruelty-free company section based solely upon a company’s animal-testing policies. However, we continue to fight for the rights of animals through our campaigns and activities and always encourage people to take a close look at the companies that they support.
"
107,Does film contain gelatin?,
108,Why is Melaleuca included on the “do test” list?,"We removed Melaleuca from our list of companies that do not test on animals after learning that it commissioned two animal tests that were not required by law.
In 1996, during the course of litigation with a competing company, Melaleuca commissioned a lethal-dose test on the competitor’s product. The test resulted in the agonizing deaths of 10 rats. In 1997, we learned that Melaleuca had commissioned experiments on dogs for its nutritional product Provex CV.
It seems that every consumer we speak to has heard a different story from Melaleuca about its removal from our “don’t test” list. One common accusation is that we removed the company from the list for washing its employees’ companion animals with dog shampoo. This is not accurate. Using animals in laboratory settings to test products for safety and trying out a product that has already been proved safe through non-animal testing methods on one’s companion animal are two entirely different situations. We would not take issue with the latter scenario, which does not involve harming animals.
It is important to note that Melaleuca used animals for tests while it was included on PETA’s cruelty-free list—after signing our statement of assurance, which indicates that the company will never test on animals, in 1993. Obviously, Melaleuca is willing to make exceptions to its “no animal testing” policy whenever it deems it necessary.
A March 2003 Melaleuca statement titled “Our Position: Firm but Not Extreme” says, “Melaleuca has long taken the position that we will not test our personal care or household products on animals. We feel that is the proper position to take, and you will find us adhering to this policy without hesitation. We feel, however, that there are extremes to every argument. We do not adhere to the extremes. … Nor do we take the position that all scientific use of animals needs to be stopped.”
In a March 2003 letter, Melaleuca freely admits that it commissioned laboratory tests in which rats and dogs were used, stating, “The rats died a horrible death. … Prior to performing human studies to prove Provex CV’s effectiveness, Melaleuca commissioned that the product be tested on dogs first. … In our quest to save life, we refuse to tell PETA that we will never again test our cardiovascular products on animals.”
"
109,Why don’t some cruelty-free companies include the fact that they are cruelty-free on their products’ labels?,"
There is no definitive answer. Whether or not to indicate that a product is cruelty-free on its label is the choice of the individual company. It may not have been deemed important enough to mention, the label may not have had enough space, or the label’s designer may not have chosen to include that information.
 
The good news is that, regardless of whether or not they have chosen to include this information on their labels, all the companies included on our “don’t test” list have all declared in writing that they do not conduct or commission animal tests on ingredients, formulations, or finished products.  
"
110,Does the Food and Drug Administration require drugs to be tested on animals?,"
The FDA does currently require all new prescription and over-the-counter drugs to be tested on animals before they are marketed even though these tests do not make the drugs safe for humans. Unfortunately, government regulations have not kept pace with science. Modern non-animal tests are quicker, less expensive, and more accurate than the old-fashioned poisoning, blinding, and burning tests developed in the 1920s.
"
111,Do medical students have to dissect or experiment on animals?,"
No. Many leading medical schools, including Harvard, Yale, and Stanford, now use innovative, clinical teaching methods instead of animal laboratories. Harvard Cardiac Anesthesia Practicum, which allows students to observe human heart bypass operations, has eliminated any need for the old dog lab, in which students gave dogs drugs that induced heart attacks. Many students all over the world now graduate without harming any animals. In Great Britain, it is against the law for medical students to practice surgery on animals, and British physicians are as competent as those educated elsewhere.
"
112,"How can non-animal tests show us the complex interactions of cells, tissues, and organs?","
Different species of animals vary so enormously in their reactions to toxins and diseases and in their metabolism of drugs that studies with animals are not good indicators for people. For example, a dose of aspirin that is therapeutic in humans is poisonous to cats and has no effect on fever in horses; benzene causes leukemia in humans but not in mice; insulin produces birth defects in animals but not in humans, and so on. Today’s sophisticated “super” computers can actually predict the effect of substances on all the organs of the human body.
"
113,Don’t most scientists care about animals because their research depends on the animals’ well-being?,"Investigations at our most prestigious institutions show that this is not the case. At the City of Hope in California, one of the country’s most prominent research facilities, animals starved to death and drowned in their own feces. Many experimenters become calloused after years of research and refuse to see the animals’ suffering. They treat animals as disposable tools for research and fight laws that would improve the animals’ care.
"
114,"I’ve seen a few products with labels that say, “This finished product not tested on animals.” Does that mean that the individual ingredients have been tested on animals?","
In cases like these, the product could be completely cruelty-free or the status of the ingredients could be questionable. It depends upon the company.
 
For example, both Bath & Body Works and Aveda use similar statements on their packaging, and neither company tests ingredients on animals. This statement is often used to meet language requirements when products marketed in both the U.S. and the U.K. use the same packaging in both countries.
 
Since most ingredients have been tested on animals by someone at some time in the past, England does not allow a company to include phrases such as “no animal testing” on its products, even if that company has not conducted animal tests on its ingredients.
"
