title,paragraphs
How to Vegan Diets Protect the Environment?,"How to Vegan Diets Protect the Environment?
Raising animals for meat, milk, and dairy production wastes resources and damages the environment on a massive scale. When fed to farm animals, a substantial portion of the calories and nutrients present in grains is turned to manure. This manure invariably pollutes local water supplies and chokes rivers and other bodies of water. Worse yet, the meat and dairy industries are now recognized as a leading contributor to climate change.

Let’s now look more closely at all these considerations.

Eating with the Planet in Mind
Written by Frances Moore Lappé all the way back in 1971, Diet for a Small Planet was the most influential food politics book of its generation. Through her writing, Lappé awakened the public to the merits of eating lower on the food chain. That means basing your diet directly on plants, rather than on animals who in turn eat plants. Diet for a Small Planet was the first bestseller to explore how plant-based diets can shrink your environmental footprint.

Lappé helped establish food politics as a serious discipline by revealing the extraordinarily inefficiencies connected to animal farming. She showed how feeding grain to poultry and livestock wastes tremendous amounts of food energy, protein, and other nutrients. Not only is it a terrible loss to squander food resources on such a massive scale, the animal manure generated is a serious menace in it own right.

Animal Manure and Dead Zones
Cows and pigs and chickens produce mountains of manure, which causes massive environmental problems. Although animal waste makes outstanding fertilizer, its high water content makes manure too expensive to truck to distant farmlands to fertilize crops.

So instead of putting it to productive use as fertilizer, factory farms often get rid of their manure by spraying it onto neighboring lands. Predictably, this method of disposal tends to foul local water supplies, especially well-water.

During heavy rains, flooding washes these pollutants into rivers. In the United States, much of this farm runoff ends up in the Gulf of Mexico, with dire consequences. The massive influx of nitrates and phosphates cause algal blooms that create a vast oxygen-free “dead zone” in the Gulf. The size and location of this dead zone varies with season and weather, but averages more than 15,000 square kilometers. Whenever it expands into new territory, virtually all fish and other marine life suffocate.17 Similar devastation for similar reasons occurs in the Chesapeake Bay, which is surrounded by a large portion of America’s poultry farms.

Animal Agriculture’s Contribution to Climate Change
Of all the environmental reasons to embrace a plant-based diet, the strongest was unknown until recently. Scientists did not reach broad consensus about the risk of severe climate change until the 2000s. Around this time, researchers began serious work to identify the primary sources of greenhouse gases. They thereby discovered that the livestock industry is a main driver of climate change.

The world’s cows, pigs, and chickens probably surpass automobiles as a cause of climate change. The 74 billion farm animals raised worldwide each year collectively spew massive amounts of methane into the atmosphere. Methane is an immensely potent greenhouse gas. It traps at least thirty times more atmospheric heat than an equal amount of carbon dioxide.

Estimates vary regarding the percentage of climate change attributable to animal agriculture, but a comprehensive United Nations study pegged the industry’s contribution to the problem at about 14.5 percent.18

Now, it’s true that greater efficiencies in livestock production have, over time, decreased emissions per animal. But regardless, animal agriculture is still a top emitter of greenhouse gases—and is undoubtedly the most sensible source to prioritize. Society can’t do away with gasoline-powered cars overnight, nor can we abruptly convert to predominantly clean energy sources for electricity. But switching to a plant-based diet is easy, and in most cases actually saves money. Plant-based diets therefore deserve recognition as the most realistic opportunity to slash greenhouse gas emissions.

A Word About Seafood
Much of the writing addressing the “why go vegan?” question either insufficiently covers the problems related to seafood or ignores the topic outright. For most people moving gradually towards a vegetarian diet, seafood is the very last food they’ll stop eating.

But there are strong reasons to rid your diet of seafood. This is especially true for crabs and lobsters, since these animals are generally boiled alive. By all the available evidence, this is an excruciating ordeal that’s indefensible to deliberately inflict onto another being.19

Can Fish Suffer?
What about fish netted for food, or caught on fishing lines? Are they capable of suffering? And, if so, how severely can they suffer?

Studies definitively prove that fish are indeed capable of suffering, both when hooked or netted.20 However they’re caught, death usually occurs either through suffocation. Deep water fish often die a particularly agonizing death—as they’re pulled to the water’s surface, their organs frequently rupture from depressurization.

What’s more, the crowding and welfare standards at fish farms are every bit as deplorable as at any factory farm. Fish farms often use antibiotics in massive quantities. And the crowding at many fish farms commonly causes infestations of gruesome parasites called sea lice. These parasites attach themselves to the fish and eat away at the skin, causing open lesions.

Genetic modification produces widespread deformities and even deafness among farmed salmon. Perhaps most disturbing, these fish routinely escape into the open ocean where they can mate with wild fish. This interbreeding causes unpredictable and potentially ruinous consequences to the gene pool of native fish species.

The Environmental Cost of Fishing
Overwhelming evidence places the fishing industry among the world’s greatest environmental menaces. And the worldwide appetite for fish is insatiable. Since 1960, the amount of seafood taken daily from the world’s oceans, rivers, and lakes has more than tripled.21 As a result, fish populations around the world are in steep decline.22 There simply isn’t enough fish to go around, and in some parts of the world, populations utterly depend on fish for survival. Perhaps, then, if people must eat seafood, it should only go to populations that would face hunger without it.

If enforcing farm animal welfare sounds hard, imagine trying to monitor fishing boats that operate in distant oceans. Fishing boats commonly switch off their electronic tracking equipment to evade the enforcement of catch limits.23 In some parts of the world, fishing fleets have unleashed irreversible environmental catastrophe. One prime example involves the coastline of Newfoundland, which was once among the world’s most abundant cod fisheries. Over-fishing so ravaged the ecosystem that the cod have forever vanished, replaced by scavenger species like crab and lobster.

The fishing industry decimates marine species of every sort. The industry uses the term “by-catch” to describe the non-targeted marine life it kills. The world’s fishing boats are constantly pulling thousands of kilometers of nets through the sea. These nets ensnare every animal in their path. Countless dolphins, sea turtles, sharks, and seabirds suffocate in these nets. Every kilogram of shrimp scooped up shrimping boats results in 4 to 6 kilograms of by-catch.24

Moving from “Why Go Vegan?” to “How to Go Vegan?”
Given how many subjects relate to vegan and plant-based diets, this essay could offer only the briefest coverage of only the most important issues. But at least you now know enough to begin thinking productively about the topic.

If there’s one point that I hope this essay convincingly made, it’s that our food choices matter immensely. The way we eat has an enormous impact on animals, the planet, and of course our quality of life. Your appreciation for the magnitude of this issue will only grow as you continue exploring the topic, and I hope I’ve inspired you to dive deeper into learning about food politics.

Small Changes Beat No Changes
Many people succumb to all-or-nothing thinking when it comes to contemplating dietary change. That is, if they decide they aren’t ready to go vegan, they’ll take no action at all. But even the smallest steps can deliver important results, while laying the groundwork for more progress in the future.

So if you’re not ready to commit to major dietary change, even small shifts are worthwhile. Concepts like Meat Free Mondays, Reducetarian diets, and Vegan Before 6:00 offer something for everyone. If there’s an animal product you presently eat that you don’t really enjoy, why not cut it out today?

Above All, Enjoy Yourself!
Know that gravitating toward plant-based foods can be exciting and fun. It emphatically should not involve feelings of deprivation and sacrifice. To the contrary, it’s all about discovery. The key point is that just by trying new foods frequently, your diet will automatically move in a positive direction.

If you’re not enjoying the process, it probably means your approach is focused on sacrifice rather than on discovery. Done properly, the switch to a vegan diet requires zero willpower. A successful transition to a vegan diet doesn’t demand cutting out foods. Instead, it’s wisest to crowd out non-vegan foods from your diet by finding new vegan foods you prefer. The more often you sample new vegan foods, the more quickly you will gain ground.

I’ve followed a vegan diet for more than thirty years, so I hope you’ll take my word for this. As you continue down the road of eating more vegan foods, the amount of pleasure you derive from eating won’t decrease—it will instead grow by leaps and bounds. You’ll experience a wider variety of delicious food than ever before, and you’ll probably feel better as well.

On top of everything I’ve covered here, there’s one additional benefit of eating vegan meals you may have never considered. Nothing beats the feeling you’ll get from supporting a food business run by people with the most honorable intentions.

Always Take the Easy Route
So, when transitioning your diet, give yourself every advantage. You don’t have to figure everything out on your own. There are a number of fabulous resources to show you the way, and a little reading pays off big time. My essay on how to go vegan will teach you more useful information in thirty minutes than you’d learn from months of following a vegan diet. After reading it, consider getting ahold of a couple vegan cookbooks devoted to quick and easy recipes.

Above all, enjoy yourself. Food is undeniably one of life’s great pleasures. And when you bring your diet into alignment with your core values and beliefs, you’ll gain a whole new level of satisfaction from eating."
I don’t mind you being vegan – but you shouldn’t try to impose your views on other people. It’s a matter of individual choice.,"Trying to persuade people to change their minds is not “imposing your views” upon them. It is the kind of healthy disagreement which democracy depends on and which is essential for change to take place. What we eat is also not simply a matter for individuals. Meat-eating and veganism are not two sides of the same coin: one brings death and suffering to animals, damages the planet and harms human health and the other doesn’t. The reason that vegans try to change the minds of non-vegans is because their “individual choice” affects countless other beings, human and non-human."
"I like the idea, but isn’t it difficult to be vegan?","Living as a vegan, especially for those of us in the developed world, is much, much easier than it is commonly perceived to be. As we wrote back in 2012:

“During the past few years, the call to reduce our consumption of animal products has grown tremendously… Vegan recipe blogs have proliferated into the hundreds, if not thousands. Both the number and the variety of vegan items available in stores and online are increasing annually. New vegan businesses are opening and thriving more than ever, including cafes, bakeries, restaurants, grocery stores, clothing stores, online boutiques, and even retreat centers and B&Bs…”

Yes, there’s never been a better time. And as the demand for vegan alternatives grows, it’s only going to get even easier.

There certainly is an initial learning period, during which new habits are established, and the vegan newbie might be surprised or even shocked to learn where certain animal products find their way into our lives. But each time we pass up a non-vegan item in favor of a vegan alternative (or even in favor of no alternative, as many of us have done many a time) we can feel strengthened by our knowledge that we have not sacrificed our covenant with the animals for something as trivial as taste, habit, comfort, or convenience."
I only eat organic/free range/fish/chicken/dairy anyway,"Good. Any choice that people make which reduces animal suffering is a welcome choice – but why stop at some kinds of animal or some kinds of suffering? Fish and chicken feel pain and have an instinct to preserve their own lives in just the same way as cows and pigs. They may be less attractive animals to you but that doesn’t mean that their lives and suffering are less important to them. Similarly, although free range and organic animals usually (although not always) lead better lives than factory farmed animals, they still suffer in many ways. For example, so-called free range egg farms may involve thousands of hens being kept in a shed with limited access to outside and to limited land. Even in the better free range/organic egg farms, all male chicks are killed within hours – useless by-products as they do not lay eggs and are too scrawny for meat. All animals kept for farming are prevented from mixing in normal social groups, and ducks never see their ducklings; hens their chicks; pigs have their piglets taken away much too young; dairy cows have their calves ripped from them at one day old. Even on free range farms the male calves are shot as they don’t give milk and are the wrong breed for beef. All farms prevent animals from living natural lives. And all are sent for slaughter as soon as there is more profit in killing them than in keeping them alive. There is no need to farm or to slaughter any animal. Eating any kind of meat contributes to animal suffering – and to the environmental and world hunger problems caused by the meat industry. The less meat people eat the better and many people find that cutting out meat gradually works best for them – but ultimately, the only truly consistent and ethical choice is to eat no meat, dairy or eggs at all."
I’ve heard that vegans have trouble getting enough B12?,"Vegans can get B12 through fortified soy milk, marmite and savoury yeast flakes. B12 has also been added to some other vegan products (eg. some Sanitarium burgers, sausages and ice ‘creams’ – check labels though as some Sanitarium products contain eggs and dairy).

We recommend that vegans take a B12 supplement as any B12 present in plant foods is not easily absorbed into the body. It is important to also realise B12 is usually supplemented into ‘livestock’ animals diets too, so there is no ‘natural’ way for getting B12 in today’s society."
"If everyone went vegan, wouldn’t animals take over the world?","No. It is a simple supply and demand issue- the more vegans there are, the less animals will be farmed."
"If the animals weren’t happy and healthy, they wouldn’t grow/lay eggs etc.","Just not true. People don’t grow big because they’re happy and neither do animals. Meat chickens today grow almost twice as fast as they did 50 years ago – yet they live in far worse conditions, crammed into stinking, windowless broiler sheds by the tens of thousands and suffering from lameness and other problems. They don’t grow big because they’re happy but because they have been selectively bred to gain weight quickly, are given growth-promoting drugs and are fed on special diets. Similarly, dairy cows have been bred to produce far more milk than is natural to them. In fact, the dairy industry relies upon making animals unhappy – by taking their calves away so that humans can drink their mothers’ milk – in order to function. Laying hens have been bred to produce so many eggs that they lose calcium into the shells and suffer from brittle bones and fractures as a result. They don’t lay eggs because they’re happy: they have no choice"
"If we all ate vegetables and crops, wouldn’t we need more pesticides?","No. Setting aside the question of whether pesticides are needed at all, if everyone were vegan we would use less pesticides because we would actually grow less crops. Meat animals all eat plants and they convert them into food very inefficiently. On average, a farmed animal has to eat 10kg of plant protein in order to make 1kg of meat – in other words, if the same land was used to grow crops for people to eat, it would be ten times more productive. To put it yet another way, 90% of the crops we feed to animals are wasted. If we didn’t eat animals, we wouldn’t need to grow those crops or use chemicals on them."
If we all went vegan – wouldn't all the animals die out?,"The converse of the above question – we vegans hear ‘em all! It's true that the number of animals will fall as farmers breed fewer and fewer animals as the years go by. Farmed animals live a controlled, distorted life, often filled with pain and fear. The vast majority of farmed animals are kept in indoor units where they never see the light of day. Those that are kept outside are only kept alive for a fraction of their natural lifespans before being slaughtered for meat - often in the most barbaric manner imaginable. All farmed animals are born to die at our command - a disgusting idea. Also some breeds have been so changed from their natural ancestor that it would be kinder to let them die out. For example, broiler chickens and turkeys bred for meat are often so obese that they can barely walk and suffer from crippling leg disorders. However we could set up large nature reserves for the more traditional (now rare) breeds that haven't been so changed. There would be much more land available for reserves because most of it is used to grow crops for fattening animals at present. Also, there would be more space for forests and woods and other wildlife reservations where genuinely wild British species of animal and plants could flourish. In other countries we could encourage the breeding of our farm animal's wild ancestors - the wild pig, turkeys and jungle fowl (the forerunner of the battery hen) by stopping the destruction of their homes. Many people forget that all farmed animals have been bred from wild animals – and that their natural ancestors need preserving. In a vegan world animals would not be kept for profit and greed but would be allowed to exist in their natural state and live their life in freedom."
"If we all went vegan, we’d be overrun with animals?","Farmed animals are not allowed to reproduce naturally and farmers only breed animals when they can make a profit out of doing so. As demand for meat goes down over time, so fewer and fewer animals will be bred. That means that we will not be overrun by millions of farmed animals, as some people seem to imagine. Eventually, the few that are left can be allowed to go free: pigs can root around in woodlands as it is natural for them to do, sheep will graze the hillsides like deer and so on. Their populations will find their own natural levels, just like every other animal."
"If you were stuck on a desert island, you’d have to eat meat.","Maybe – but if you were stuck on a desert island you might have to run around naked, never take a shower and wipe your bottom with leaves: that doesn’t mean that you should do those things the rest of the time."
Is alcohol vegan?,"Most spirits are vegan, although there are the more obvious ones that contain cream or honey that are not. Most wines and beers go through a filtering process, often using animal products. Such filtering agents include milk, albumen (from eggs), isinglass (from the swim bladders of fish) and gelatine. Labelling regulations require allergens such as milk and egg to be listed on labels, but it is not a requirement for isinglass or gelatine. Coopers, Boags and Heineken beers are all vegan. While almost all German (and Belgian) beers are vegan because of their laws for purity!"
Is honey vegan?,"Honey is an animal product and is therefore avoided by vegans. Surprisingly, a lot of bees are factory farmed and live in unnatural conditions. The queen is often artificially inseminated, has her wings clipped and is replaced (killed) after 1 or 2 years (normal life span is around 5 years). Try using agave nectar, maple syrup or golden syrup instead."
Is it hard to get vegan food?,"If you do a weekly shop in a supermarket you shouldn’t have any trouble finding vegan food. For example, typing ‘vegan’ into the Morrisons groceries website returns over 1,500 products. If you’re used to shopping at very small local shops, then you might find less variety of meat substitutes. If you’re keen to have these and don’t live or work near bigger supermarkets, you can always buy food on a supermarket website and have it delivered at an average cost of £3 a time or even less if you sign up for unlimited deliveries throughout the year."
Is it more expensive?,"Being vegan needn’t be more expensive than a diet containing animal products. Some of the cheapest and healthiest foods available are great staples of a vegan diet, including cereals, beans, rice, potatoes, lentils, pasta, bread, fruits and vegetables. If you’re eating a balanced diet that includes animal products, you likely already buy and enjoy many of these anyway. Some vegan items such as vegan milks and cheese can be more expensive than their non-vegan counterparts, but this additional outlay is likely to be balanced by the savings you make through not having to buy meat."
"Is it possible to really be vegan, when animal ingredients are everywhere?","Although it’s true that in today’s world, it is almost impossible to avoid using some non-vegan items or ingredients, it is also true that avoiding most of them is easier than you think. The rising number of vegans each year has created an increased demand for vegan products. So much so that today, there are many incredibly delicious, easily attainable, and easy to prepare substitutes that would have seemed miraculous to vegan pioneers, such as pizza and ice cream! There’s also a growing number of high-quality replacements for non-vegan clothing, toiletries, cleaning products, household items, and anything else we need to live without exploiting animals.

Every time anyone takes a stand for non-human animals and their right to live free from human oppression, he or she moves all of humanity one giant step closer to a vegan world, where animal fat in our tires and crushed insects in our food will be but a distant memory of less civilized times.

In the meantime, we can at least do our very best to avoid animal ingredients and businesses wherever possible."
Is palm oil vegan?,"In itself, palm oil is a vegetable product which does not need to involve the (ab)use of animals, and therefore is suitable for vegans. The palm oil and palm timber industries are rife with very bad practices. In the EU, palm oil used in food must now be labelled, but ingredients derived from palm oil in food and non-food products still do not have to be labelled. So it is not possible for consumers to boycott palm products. Instead, ending the abuses of the palm tree (oil and timber) industries requires co-ordinated action by consumers, policymakers, vegans and non-vegans together.

Vegans should also be aware that due the fact that single-issue campaigns have focused solely on the negative effects of palm oil, other types of crop farming, which cause harm to many animals, are overlooked. The Vegan Society is working towards a world where animals are not (ab)used for human purposes. We encourage stock-free farming and alternatives to widespread crop clearance and other farming methods which currently cause many animals to die every year. Unfortunately, it is not yet possible or practical for individual vegans to only support vegan farming. However, the consumption of plant-based crops such as wheat, barley, oil palm and soybeans causes far fewer animals to lose their lives than eating animals."
Is veganism healthy?,"Well-planned vegan diets contain all the nutrients we need to remain healthy. The British Dietetic Association (BDA) is the professional association for dietitians in Great Britain and Northern Ireland. The BDA recognises that well-planned vegan diets can support healthy living in people of all ages. It's always a great idea to pay attention to nutritional needs, but this applies to everyone, not just vegans. Going vegan is great opportunity to pay more attention to your diet and health. The"
Isn’t it expensive to be vegan?,"There’s plenty of cheap yet high-quality vegan food out there, and the trick to finding it all is learning how to shop effectively. Once you learn a few basic shopping tips, it’s actually easier to eat an affordable vegan diet than one that contains animal products.

The key to being vegan on the cheap is to buy unprocessed foods in bulk. Every good natural foods store has a bulk section where you can buy everything from beans to grains to nuts to granola. If you can keep most of your purchases to items costing under $3 a pound your grocery bill will be remarkably low.

But what about produce? You’ll dramatically cut costs if you learn when different fruits and vegetables hit peak of season. In North America, that means peas and strawberries in May, cherries in June, peaches and watermelons in August, and apples in November. When you buy produce items at its peak of season, you’ll get the highest quality food at the lowest price. If you extra-motivated to minimize your produce costs, remember that most supermarkets offer outrageously good sale prices on a few produce items every week—just check the market’s weekly flyer when you walk into the store.

Amazon.com can be a great source of inexpensive convenience foods. We’ve collected Amazon’s best vegan food deals on our grocery page.

The one area where vegan foods consistently cost more is frozen dinners. That’s largely because vegan offerings tend to be made from high quality organic ingredients, whereas conventional TV dinners are made from the worst factory-farmed dreck imaginable. If most of your food is frozen vegan dinners, you’ll undoubtedly have a higher grocery bill than a typical omnivore. But you can get around this by learning to cook. Two cookbooks are specifically geared to eating cheaply on a vegan diet: Robin Robertson’s Vegan on the Cheap, and Ellen Jaffe Jones’ Eat Vegan on $4.00 a Day."
Isn’t it hard to be vegan?,"et’s be honest. If you grew up eating meat, milk, and eggs in almost every meal, the idea of going vegan certainly seems hard—maybe even impossible!

But most vegans discover the switch is far easier than they ever imagined. All you have to do is focus on crowding out animal-based foods rather than cutting them out. That is, don’t eliminate a meat, dairy, or egg product from your diet until you’ve found two or three great new vegan foods than can take its place. When you focus on crowding rather than cutting, you eliminate all feelings of strain and sacrifice. Your diet actually becomes more interesting, varied, and delicious as you fill it with more and more vegan foods."
Isn't eating meat is natural?,"As we’ve just seen, it isn’t. Humans have only eaten meat in relatively recent evolutionary history and then only through the use of tools like spears and fire. Only when we started farming (hardly natural!) did meat become even a regular part of most human beings’ diets and eating meat on a daily basis is very recent - since the advent of factory farming after the Second World War. This brought the cost of rearing animals down and the meat eating explosion was the result. In 1946, for example, the number of poultry eaten in Britain was 31.9 million and in 2001 it was over 800 million. And what’s natural about factory farming, live exports and slaughterhouses?"
It’s alright to eat animals if they’ve had a good life?,"Would it be alright to kill and eat people if they’d had a good life? And what do we mean by a ‘good’ life, anyway? In the case of animals, we certainly don’t mean a long one. ‘Meat’ animals are killed as babies in the case of lambs and veal calves or as soon as they become physically mature – the equivalent of human teenagers - and never get to lead any kind of adult life. Animals, of course, want to live just as much as we do. The first instinct every animal has is to survive. By killing them at all, we are taking away from them the most important thing they have; we are denying their intrinsic right to life. It is also naïve to imagine that any farmed animals lead good lives: the overwhelming majority of them are exploited, neglected and frustrated on factory farms – forced to lead lives of misery by a farming system which sees them only as ways of producing a profit. They then face a violent, frightening death in the slaughterhouse: despite supposedly humane stunning, millions of animals are still conscious when their throats are cut. Even free range and organic animals suffer on farms (see question 6) and they face the same shocking death at a young age as factory-farmed animals."
Lots of animals kill for food: why shouldn’t we?,"Animals do lots of things we don’t do and wouldn’t do! Anyway, we shouldn’t kill because we have a choice. Lions and tigers etc have to kill to survive (they are known as obligate carnivores): we don’t. Animals can only follow their instincts but we human beings can think about the consequences of our actions. We can recognise the suffering of other animals and we can choose not to inflict it on them. If we choose to make them suffer, what does that say about the human race? Eating meat, fish, eggs and dairy is causing mass pain and suffering; it is destroying the earth and is costing the health services millions."
Mainstream,"The vegan diet became increasingly mainstream in the 2010s,[42][43][106] especially in the latter half.[43][107] The Economist declared 2019 ""the year of the vegan"".[108] The European Parliament defined the meaning of vegan for food labels in 2010, in force as of 2015.[109] Chain restaurants began marking vegan items on their menus and supermarkets improved their selection of vegan processed food.[110]

The global mock-meat market increased by 18 percent between 2005 and 2010,[111] and in the United States by eight percent between 2012 and 2015, to $553 million a year.[112] The Vegetarian Butcher (De Vegetarische Slager), the first known vegetarian butcher shop, selling mock meats, opened in the Netherlands in 2010,[111][113] while America's first vegan butcher, the Herbivorous Butcher, opened in Minneapolis in 2016.[112][114] Since 2017, more than 12,500 chain restaurant locations have begun offering Beyond Meat and Impossible Foods products including Carl’s Jr. outlets offering Beyond Burgers and Burger King outlets serving Impossible Whoppers. Plant-based meat sales in the U.S have grown 37% in the past two years.[115] By 2016, 49% of Americans were drinking plant milk, and 91% still drank dairy milk.[116] In the United Kingdom, the plant milk market increased by 155 percent in two years, from 36 million litres (63 million imperial pints) in 2011 to 92 million (162 million imperial pints) in 2013.[117] There was a 185% increase in new vegan products between 2012 and 2016 in the UK.[107] In 2011, Europe's first vegan supermarkets appeared in Germany: Vegilicious in Dortmund and Veganz in Berlin.[118][119]

In 2017, veganism rose in popularity in Hong Kong and China, particularly among millennials.[120] China's vegan market is estimated to rise by more than 17% between 2015 and 2020,[120][121] which is expected to be ""the fastest growth rate internationally in that period"".[120] This exceeds the projected growth in the second and third fastest-growing vegan markets internationally in the same period, the United Arab Emirates (10.6%) and Australia (9.6%) respectively.[121][122] In total, as of 2016, the largest share of vegan consumers globally currently reside in Asia Pacific with nine percent of people following a vegan diet.[121] In 2013, the Oktoberfest in Munich — traditionally a meat-heavy event — offered vegan dishes for the first time in its 200-year history.[123]"
"Meat, Milk, and Eggs Get Cheaper than Ever","Adjusted for inflation, the price of animal products dropped significantly thanks to the efficiencies gained through factory farming. This gave rise to people eating more meat, milk, and eggs than ever before—while animal welfare standards simultaneously collapsed. The cratering of welfare standards directly arose from the industry’s fierce competition to slash costs to the minimum. Thousands of meat, dairy, and egg producers quit business every year. The dairy industry offers a good example of the relentless financial pressure that animal farmers face. Beginning in 2013, dairies throughout the Northeast U.S. lost money four years in a row. In each of those years, wholesale milk prices came in well below production costs. Over that period, one regional dairy cooperative sent out suicide prevention letters after two of its members killed themselves. To stay afloat financially, meat, dairy, and egg producers must cut expenses wherever possible. Tragically, many of these cost-cutting measures are tremendously cruel."
Mutilations at Factory Farms,"Just as bullying and violence pervades poorly run schools and prisons, the same is true at factory farms. The staggering levels of crowding at factory farms cause the animals to take their frustrations out on one another. More crowding inevitably means more violence. The problem goes away if you remove stresses and provide adequate living space, but that solution is too expensive for most facilities to contemplate. Factory farms instead inflict a variety of mutilations onto the animals in order to keep them from injuring one another. Pigs raised in overcrowded conditions are apt to bite one another’s tails. At factory farms, workers cut the tails cut off and clip their “needle teeth.”

Hens crowded into battery cages can peck each other to death. So egg producers use a hot blade to sear off the pointy final third of their beaks—rendering it unlikely that a peck can draw blood. While a beak may appear woody on the outside, the hen’s mouth lies inside and full of nerve endings. So, the reality is that beak searing is a partial (and no doubt excruciatingly painful) amputation of the bird’s mouth. Some hens are unable to eat or drink after beak searing, and perish. Unlike pigs and chickens, cows don’t commonly attack one another when subjected to stress. But in overcrowded conditions, horns endanger both workers and other cattle, so they’re painfully amputated or sawed off. Ranchers also brand their cattle with a hot iron in order to deter theft. Dairy farmers usually cut off their cows’ tails so they don’t interfere with the milking machines. That leaves the cows with no way to shoo away flies, which are often legion at dairies and a constant source of misery.
In order to improve meat tenderness and also eliminate the “boar taint” stench in pork, farmers castrate nearly every male calf and piglet. I’ll spare you the details of how this is done, but interested readers can follow read this article or watch this video. Each of these mutilations, including castration, typically occurs without anesthesia. A local anesthetic would greatly reduce pain, but factory farm owners regard even the cheapest analgesics as prohibitively expensive."
Our teeth/digestive systems are designed for eating meat.,"No, they aren’t. We can digest meat, but our digestive systems are different to carnivorous animals: our guts are longer (so we can digest lots of plant materials) and our teeth are not designed to slice and tear flesh. Our teeth and mouths are the wrong shape to be able to kill and hold captive struggling prey (compare our jaw shape and teeth to a lion – or your pet cat or dog!). That’s why humans cook meat before eating it and why we’re no good at crunching and munching uncooked bones. As for our sharp teeth, gorillas are entirely vegan – as are almost all primates – and yet have far longer and sharper canine teeth than human beings. The diet of the ancestors of human beings was vegan until they began hunting about one-and-a-half million years ago but even then meat formed just a tiny part of their diet. That’s why people live long, healthy lives on vegan diets but would quickly die if they ate nothing but meat. To find out more, see our Nutrition Myths page or read our guides, Wheat Eaters or Meat Eaters and Your Health in Your Hands."
Pigs,"Every year in the UK, 10 million pigs are slaughtered for human consumption. Pigs have an average lifespan of 15 - 20 years, but reach slaughter rate at 6 months old. Less than 3% of UK pigs spend their entire lives outdoors. Most big slaughterhouses in the Britain and Europe kill pigs in gas chambers. Around half of all antibiotics sold in the UK are used on farmed animals, with 60% of these being used on pigs.  Most pigs are entitled to less than one square metre of space each and the majority of sows (female breeding pigs) are kept in farrowing crates. Farrowing crates were made illegal in several countries across Europe, but are still standard farming practice here in the UK. "
"Pregnancy, infants and children","The Academy of Nutrition and Dietetics and Dietitians of Canada consider well-planned vegetarian and vegan diets ""appropriate for individuals during all stages of the lifecycle, including pregnancy, lactation, infancy, childhood, and adolescence, and for athletes"".[269] The German Society for Nutrition cautioned against a vegan diet for pregnant women, breastfeeding women, babies, children, and adolescents.[28] The position of the Canadian Pediatric Society is that ""well-planned vegetarian and vegan diets with appropriate attention to specific nutrient components can provide a healthy alternative lifestyle at all stages of fetal, infant, child and adolescent growth. It is recommended that attention should be given to nutrient intake, particularly protein, vitamins B12 and D, essential fatty acids, iron, zinc, and calcium.[262]

According to a 2015 systematic review, there is little evidence available about vegetarian and vegan diets during pregnancy, and a lack of randomized studies meant that the effects of diet could not be distinguished from confounding factors.[270] It concluded: ""Within these limits, vegan-vegetarian diets may be considered safe in pregnancy, provided that attention is paid to vitamin and trace element requirements.""[270] A daily source of vitamin B12 is important for pregnant and lactating vegans, as is vitamin D if there are concerns about low sun exposure.[t] A different review found that pregnant vegetarians consumed less zinc than pregnant non-vegetarians, with both groups' intake below recommended levels; however, the review found no significant difference between groups in actual zinc levels in bodily tissues, nor any effect on gestation period or birth weight.[272]

Researchers have reported cases of vitamin B12 deficiency in lactating vegetarian mothers that were linked to deficiencies and neurological disorders in their children.[273][274] It is recommended that a doctor or registered dietitian should be consulted about taking supplements during pregnancy.[275][276]

Vegan diets have attracted negative attention from the media because of cases of nutritional deficiencies that have come to the attention of the courts, including the death of a baby in New Zealand in 2002 due to hypocobalaminemia, i.e. vitamin B12 deficiency.[34]"
